,YEAR,SEX,STATE,COUNTY,GEOID,RACE,AGE,SSP1,SSP2,SSP3,SSP4,SSP5
2846631,2050,1,37,47,37047,2,4,331.97167876459014,341.2534392713873,257.63680628548343,293.5695059318092,428.47132977941465
2846632,2050,1,37,47,37047,2,5,658.8628524681634,678.6277189789977,519.424087824441,587.690672295717,835.8967320029816
2846633,2050,1,37,47,37047,2,6,742.2729879275794,758.7409427692043,610.8066441213174,690.2904786878847,910.4273182112858
2846634,2050,1,37,47,37047,2,7,774.4201773312361,785.165192729467,659.8759838024895,739.2333663956833,920.9907455667231
2846635,2050,1,37,47,37047,2,8,783.5056542448673,785.6580834572853,683.9522344704558,758.9998821332824,901.219872525046
2846636,2050,1,37,47,37047,2,9,748.4738614018851,742.4997398078402,672.2950500957047,741.1958242643802,812.030390653063
2846637,2050,1,37,47,37047,2,10,832.6781935941218,823.6555421305495,740.530653885215,821.9359086680487,906.0494150925521
2846638,2050,1,37,47,37047,2,11,628.715670727537,619.2393022696365,549.4404344747085,617.5226182912182,688.3034252906648
2846639,2050,1,37,47,37047,2,12,503.9681601321672,493.1130626581737,441.5097561667195,491.57772253791717,543.9345463907075
2846640,2050,1,37,47,37047,2,13,364.12521228743867,352.94399546374046,317.2301037066522,352.01611900863145,387.84541502931364
2846641,2050,1,37,47,37047,2,14,260.3729622124948,248.8069679205225,224.60439082781468,248.36751467152874,272.0957512477658
2846642,2050,1,37,47,37047,2,15,234.54349725515485,220.34025990944454,196.49717795682,220.43976890349282,242.5885335066287
2846643,2050,1,37,47,37047,2,16,156.36048051735546,142.35232472914024,123.84161277527626,142.37665660334437,159.79768352342867
2846644,2050,1,37,47,37047,2,17,115.60640309480192,100.3132345158776,83.31319881979489,100.32246693313108,117.17811262759993
2846645,2050,1,37,47,37047,2,18,47.964733828217796,36.13296651443572,26.36124088959669,36.13252197864254,48.19027743950882
2846646,2050,1,37,47,37047,3,1,262.7989577922646,271.07635115658906,181.58634546354637,213.35947114314754,384.3684927568383
2846647,2050,1,37,47,37047,3,2,241.11850545381824,247.6054145756566,175.68022979790769,203.23870658142891,333.74559527323964
2846648,2050,1,37,47,37047,3,3,197.95523910930416,202.930489688099,149.8928049350546,171.71223292626092,262.2942205601033
2846649,2050,1,37,47,37047,3,4,152.1244871195935,156.3778109631154,118.06087544926365,134.52686894865477,196.3450060882008
2846650,2050,1,37,47,37047,3,5,163.53001945311826,168.43566710482162,128.92126315537487,145.86505630559674,207.4698980723772
2846651,2050,1,37,47,37047,3,6,184.0342125057006,188.11716736213359,151.43932430838197,171.14601596940034,225.72527530402076
2846652,2050,1,37,47,37047,3,7,122.5019894979935,124.20169438947237,104.38276688027894,116.93594864592087,145.6873180008933
2846653,2050,1,37,47,37047,3,8,147.57272103656328,147.97812951574178,128.82190671249253,142.95707665414474,169.74410857178194
2846654,2050,1,37,47,37047,3,9,133.59511572395357,132.52879463130975,119.99795804485878,132.29605871773148,144.9393220058145
2846655,2050,1,37,47,37047,3,10,81.58533259016274,80.70129836642097,72.55676941611509,80.53280966448231,88.77420285786873
2846656,2050,1,37,47,37047,3,11,36.866069089982254,36.310402243175616,32.2175984491288,36.20974085822748,40.36012272809043
2846657,2050,1,37,47,37047,3,12,0.0,0.0,0.0,0.0,0.0
2846658,2050,1,37,47,37047,3,13,0.0,0.0,0.0,0.0,0.0
2846659,2050,1,37,47,37047,3,14,82.75279030906137,79.07683911879046,71.38467795861132,78.93717030580927,86.47857464023718
2846660,2050,1,37,47,37047,3,15,72.14328499175537,67.7745081481049,60.44060941921072,67.80511614108224,74.61785943040495
2846661,2050,1,37,47,37047,3,16,72.04986852850108,65.59500359377968,57.065390751506435,65.60621555943533,73.63370879219136
2846662,2050,1,37,47,37047,3,17,67.46940662307681,58.54411371728012,48.62267087085532,58.549501876561216,68.38667683236405
2846663,2050,1,37,47,37047,3,18,103.37582463165673,77.87544955832445,56.81497212171773,77.87449147411272,103.8619267101362
2846664,2050,1,37,47,37047,4,1,96.79050172582113,99.83911753254075,66.8793880753064,78.58162921721055,141.56532268647788
2846665,2050,1,37,47,37047,4,2,107.76860668760635,110.66794930112276,78.52078193768187,90.838122076312,149.16854980926246
2846666,2050,1,37,47,37047,4,3,106.95901079369028,109.6472340645318,80.98995617939913,92.77941143465985,141.7225959476617
2846667,2050,1,37,47,37047,4,4,92.88576109192397,95.48280006872835,72.08684465547336,82.14082325737476,119.88638826281364
2846668,2050,1,37,47,37047,4,5,80.10879518301812,82.5119351342307,63.15493081568869,71.45522246632156,101.63371610242164
2846669,2050,1,37,47,37047,4,6,98.6237022253673,100.81175258012394,81.156142776105,91.71693396683645,120.96589016367383
2846670,2050,1,37,47,37047,4,7,97.9150401374932,99.27360315637192,83.43246383694458,93.46614003659693,116.44692178501188
2846671,2050,1,37,47,37047,4,8,70.27649499844448,70.469557013966,61.34705668622532,68.07845116570071,80.83486509749089
2846672,2050,1,37,47,37047,4,9,87.8074384526289,87.10658256275845,78.87049805950245,86.95361331462016,95.26359199155523
2846673,2050,1,37,47,37047,4,10,70.04692732664827,69.28791980582614,62.29525078825021,69.14326003077385,76.2190940288702
