"","id","Latitude","Longitude"
"X.107",107,35.3103229707884,-76.7357358610322
"X.108",108,35.4362704950596,-76.6466106025028
"X.109",109,35.5409910301949,-77.0410000123392
"X.110",110,35.376187514516,-76.9625956670679
"X.111",111,35.6320268482715,-77.0351247186757
"X.112",112,35.6376181746701,-76.8746442541728
"X.113",113,35.5620419372737,-76.5769060388185
"X.114",114,35.4605728561766,-77.0164598925296
"X.115",115,35.661693094711,-77.1282175355868
"X.116",116,35.5704910245845,-77.0528499480006
"X.117",117,35.456021588688,-77.1029468648802
"X.118",118,35.5615789210463,-77.0726835942294
"X.119",119,35.6345032696454,-76.6986902465714
"X.120",120,35.5601039030819,-77.0287938824505
"X.121",121,35.5614723117544,-76.9673598345675
"X.122",122,35.3410733419363,-76.8747795950094
"X.123",123,35.4684343897358,-76.8075479494174
"X.124",124,35.5512907464064,-76.780639102756
"X.125",125,35.5042663543918,-76.9215751524048
"X.126",126,35.5302969964284,-77.0152815348105
"X.127",127,36.1906743485241,-76.9001812407869
"X.128",128,36.1767724631619,-76.9949838185646
"X.129",129,36.1930739808408,-76.793734801169
"X.130",130,35.9619248072989,-76.7565286202556
"X.131",131,36.0876523654786,-76.9271432305872
"X.132",132,35.9509091164702,-76.9214057926844
"X.133",133,36.2040851142197,-77.082280053712
"X.134",134,36.0921869219437,-77.05816583258
"X.135",135,36.0808782104722,-76.7845949444791
"X.136",136,36.045778829635,-77.1881354510391
"X.137",137,36.186861836108,-77.2013000764244
"X.138",138,35.9757592030744,-77.0589730366867
"X.139",139,34.5063413688981,-78.8132233693117
"X.140",140,34.5112559766145,-78.7184101284545
"X.141",141,34.577380709047,-78.7768683986407
"X.142",142,34.6598540925779,-78.4951832133729
"X.143",143,34.5084173876195,-78.6293091474441
"X.144",144,34.42814671855,-78.4077011776308
"X.145",145,34.4936220544016,-78.5298522052664
"X.146",146,34.7641280590101,-78.8236798402579
"X.147",147,34.7673495828935,-78.4665454208147
"X.148",148,34.7890996850177,-78.7224895061305
"X.149",149,34.7959250895479,-78.5877491501782
"X.150",150,34.6556880738224,-78.7475725593947
"X.151",151,34.6830115254382,-78.6215253818663
"X.152",152,34.6061609417965,-78.6645979256327
"X.153",153,34.5863556064499,-78.5770541035732
"X.154",154,34.6077268447818,-78.3485521365084
"X.155",155,34.4793253503055,-78.3144797062652
"X.156",156,33.9658116106191,-77.9885591747886
"X.157",157,33.8489031970176,-78.0443637951799
"X.158",158,33.8946382046867,-78.3092319372928
"X.159",159,33.9676706768719,-78.5378328200238
"X.160",160,34.3006834594406,-78.1516646617131
"X.161",161,34.0788193632378,-78.2794881413643
"X.162",162,34.0098693624944,-78.3670884353178
"X.163",163,33.9739045232891,-78.1722008288169
"X.164",164,34.178545826573,-78.1450551974466
"X.165",165,33.9063895524017,-78.5690881589603
"X.166",166,33.8811033181629,-78.5169623419823
"X.167",167,33.9338059056374,-78.3922836607462
"X.168",168,33.8966480859716,-78.4374014971062
"X.169",169,34.2910920471685,-78.0578913327469
"X.170",170,33.9197981120344,-78.1843619615085
"X.171",171,34.0459586397783,-78.0670033836619
"X.172",172,33.9359482626475,-78.0614999782931
"X.173",173,34.1553847524142,-77.9967540018826
"X.174",174,34.2467175018353,-77.9940363332004
"X.175",175,34.094960757452,-78.4597506983771
"X.176",176,33.9411305899811,-78.2624677820661
"X.177",177,34.0691949562241,-78.1394768755518
"X.178",178,33.9065583471678,-78.0436329930395
"X.179",179,35.5687191864386,-82.5124911980954
"X.180",180,35.5294486808069,-82.6295116332122
"X.181",181,35.6437211584656,-82.6252210383265
"X.182",182,35.461023588112,-82.5906768017272
"X.183",183,35.6027387544302,-82.568026279148
"X.184",184,35.5731931800023,-82.6152989033221
"X.185",185,35.6119267606204,-82.5394313861702
"X.186",186,35.6983099283504,-82.5539350447543
"X.187",187,35.5946866924465,-82.5341284783615
"X.188",188,35.5785187141081,-82.534120959413
"X.189",189,35.4855849750211,-82.4049623441913
"X.190",190,35.5609072400429,-82.6930147850131
"X.191",191,35.635942636861,-82.7508637554381
"X.192",192,35.4809881170951,-82.731343229362
"X.193",193,35.6466295576976,-82.404708158781
"X.194",194,35.6373980020353,-82.5849377106622
"X.195",195,35.4885859460072,-82.5110956026673
"X.196",196,35.6119876238161,-82.6812310439858
"X.197",197,35.4928659606176,-82.6215798299263
"X.198",198,35.5909335685599,-82.6252963441225
"X.199",199,35.6871054486323,-82.6939175368514
"X.200",200,35.6250346905368,-82.5497062264354
"X.201",201,35.5943359267909,-82.5830517350479
"X.202",202,35.5440353139064,-82.5029612775266
"X.203",203,35.5377426316756,-82.3775059435653
"X.204",204,35.6944304054934,-82.4831060035423
"X.205",205,35.5862987858658,-82.4862818642404
"X.206",206,35.648496401224,-82.3539428860984
"X.207",207,35.643993545853,-82.5198789464297
"X.208",208,35.6079578230832,-82.3204025590222
"X.209",209,35.5822433970633,-82.5060609439787
"X.210",210,35.6069882923737,-82.6002758356745
